ページ,役割,セレクタ,PC(>1140px),,≤1140px,,≤840px,,≤540px,,≤320px,,要確認
,,,size,weight,size,weight,size,weight,size,weight,size,weight,
index,HERO: スクロール誘導ラベル（縦書き）,.wb-box.wb-hero__scroll-label,14px,600,14px,600,12px,600,10px,600,8px,600,
index,HERO直下の大見出し「Discover.」,.wb-box.wb-tagline__discover,96px,700,8vw,700,8vw,700,10vw,700,10vw,700,vw単位（クランプなし）を含む
index,HERO直下の大見出し「Design.」,.wb-box.wb-tagline__design,96px,700,8vw,700,8vw,700,10vw,700,10vw,700,vw単位（クランプなし）を含む
index,HERO直下の大見出し「Development.」,.wb-box.wb-tagline__development,96px,700,8vw,700,8vw,700,10vw,700,10vw,700,vw単位（クランプなし）を含む
index,セクション共通見出し（MISSION/THEME/VALUE/GOVERNANCE/COMPANY INFO）,.wb-box.wb-section-label,34px,800,34px,800,34px,800,28px,800,20px,800,
index,OUR MISSION 本文（和文）,.wb-box.wb-principles__mission-ja,20px,600,20px,600,18px,600,16px,600,14px,600,
index,OUR MISSION 本文（英文）,.wb-box.wb-principles__mission-en,16px,500,16px,500,16px,500,13px,500,12px,500,
index,THEME 導入文（英文）,.wb-box.wb-principles__theme-intro-en,16px,500,16px,500,16px,500,13px,500,12px,500,
index,VALUE 本文（英文）,.wb-box.wb-principles__value-en,16px,500,16px,500,16px,500,13px,500,12px,500,
index,GOVERNANCE 本文（英文）,.wb-box.wb-principles__governance-en,16px,500,16px,500,16px,500,13px,500,12px,500,
index,THEME 導入文（和文）,.wb-box.wb-principles__theme-intro-ja,20px,600,20px,600,18px,600,16px,600,14px,600,
index,THEME 項目1（和文）,.wb-box.wb-principles__theme-item-1-ja,20px,600,20px,600,18px,600,16px,600,14px,600,
index,THEME 項目2（和文）,.wb-box.wb-principles__theme-item-2-ja,20px,600,20px,600,18px,600,16px,600,14px,600,
index,THEME 項目3（和文）,.wb-box.wb-principles__theme-item-3-ja,20px,600,20px,600,18px,600,16px,600,14px,600,
index,THEME 注記（和文）,.wb-box.wb-principles__theme-note-ja,20px,600,20px,600,18px,600,16px,600,14px,600,
index,VALUE 本文（和文）,.wb-box.wb-principles__value-ja,20px,600,20px,600,18px,600,16px,600,14px,600,
index,GOVERNANCE 本文（和文）,.wb-box.wb-principles__governance-ja,20px,600,20px,600,18px,600,16px,600,14px,600,
index,THEME 項目番号1,.wb-box.wb-principles__theme-num-1,20px,600,20px,600,18px,600,16px,600,14px,600,
index,THEME 項目番号2,.wb-box.wb-principles__theme-num-2,20px,600,20px,600,18px,600,16px,600,14px,600,
index,THEME 項目番号3,.wb-box.wb-principles__theme-num-3,20px,600,20px,600,18px,600,16px,600,14px,600,
index,THEME 項目1（英文）,.wb-box.wb-principles__theme-item-1-en,14px,500,14px,500,14px,500,13px,500,12px,500,
index,THEME 項目2（英文）,.wb-box.wb-principles__theme-item-2-en,14px,500,14px,500,14px,500,13px,500,12px,500,
index,THEME 項目3（英文）,.wb-box.wb-principles__theme-item-3-en,14px,500,14px,500,14px,500,13px,500,12px,500,
index,THEME 注記（英文）,.wb-box.wb-principles__theme-note-en,14px,500,14px,500,14px,500,13px,500,12px,500,
index,WE THINK 大見出し,.wb-box.wb-approach__title,96px,700,8vw,700,8vw,700,10vw,700,10vw,700,vw単位（クランプなし）を含む
index,WE THINK リード文,.wb-box.wb-approach__subtitle,20px,700,16px,700,16px,700,14px,700,14px,700,
index,WE THINK カード1見出し,.wb-box.wb-approach__card-discover-title,20px,700,20px,700,20px,700,18px,700,16px,700,
index,WE THINK カード1本文（和文）,.wb-box.wb-approach__card-discover-ja,16px,600,16px,600,16px,600,16px,600,14px,600,
index,WE THINK カード2本文（和文）,.wb-box.wb-approach__card-design-ja,16px,600,16px,600,16px,600,16px,600,14px,600,
index,WE THINK カード3本文（和文）,.wb-box.wb-approach__card-development-ja,16px,600,16px,600,16px,600,16px,600,14px,600,
index,WE THINK カード1本文（英文）,.wb-box.wb-approach__card-discover-en,14px,500,16px,500,14px,500,13px,500,12px,500,PC→≤1140でサイズが増加(14px→16px)
index,WE THINK カード2本文（英文）,.wb-box.wb-approach__card-design-en,14px,500,16px,500,14px,500,13px,500,12px,500,PC→≤1140でサイズが増加(14px→16px)
index,WE THINK カード3本文（英文）,.wb-box.wb-approach__card-development-en,14px,500,16px,500,14px,500,13px,500,12px,500,PC→≤1140でサイズが増加(14px→16px)
index,WE THINK カード2見出し,.wb-box.wb-approach__card-design-title,20px,700,20px,700,20px,700,18px,700,16px,700,
